正字,異体字
吉,𠮷
羽,羽
亜,亞
唖,啞
唖,瘂
悪,惡
芦,蘆
鯵,鰺
圧,壓
庵,菴
庵,葊
案,桉
囲,圍
為,爲
医,醫
育,毓
一,弌
壱,壹
稲,稻
因,囙
姻,婣
飲,飮
淫,婬
淫,滛
隠,隱
陰,阴
陰,隂
卯,夘
丑,丒
嘘,噓
欝,鬱
厩,廐
厩,廏
厩,廄
叡,睿
営,營
映,暎
曳,曵
栄,榮
穎,頴
英,偀
衛,衞
詠,咏
駅,驛
円,圓
円,圎
堰,椻
焔,焰
煙,烟
縁,緣
艶,艷
艶,豔
艶,豓
鉛,鈆
塩,鹽
汚,汙
奥,奧
往,徃
応,應
横,橫
欧,歐
殴,毆
鴬,鶯
鴬,鸎
鴎,鷗
黄,黃
岡,堽
岡,崗
沖,冲
温,溫
穏,穩
下,丅
仮,假
価,價
花,芲
嘩,譁
蚊,蚉
蚊,螡
蚊,蟁
峨,峩
画,畫
画,畵
臥,卧
会,會
解,觧
回,囘
回,囬
壊,壞
廻,廽
廻,迴
怪,恠
懐,懷
界,畍
絵,繪
蟹,蠏
開,开
階,堦
貝,蛽
崖,崕
概,槩
概,槪
碍,礙
蓋,盖
蓋,葢
柿,柹
蛎,蠣
鈎,鉤
拡,擴
撹,攪
殻,殼
殻,壳
覚,覺
角,甪
赫,爀
赫,焃
学,學
学,斈
学,斅
学,斆
岳,嶽
楽,樂
潟,澙
轄,鎋
兜,兠
竃,竈
竃,灶
釜,釡
鎌,鐮
鎌,劆
柏,栢
萱,蘐
萱,蕿
粥,鬻
乾,乹
乾,亁
勧,勸
巻,卷
寛,寬
幹,榦
款,欵
款,歀
歓,歡
潅,灌
缶,罐
缶,缻
観,觀
諌,諫
鑑,鑒
鑑,鍳
間,閒
関,關
関,閞
陥,陷
館,舘
巌,巖
巌,嵓
雁,鴈
雁,鳫
顔,顏
喜,憙
喜,憘
喜,囍
器,噐
奇,竒
既,旣
期,朞
棋,棊
棄,弃
帰,歸
帰,皈
気,氣
規,槼
亀,龜
亀,龟
偽,僞
宜,冝
戯,戲
戯,戱
犠,犧
蟻,螘
掬,匊
却,卻
脚,腳
丘,坵
窮,竆
窮,匑
窮,穷
糾,糺
旧,舊
去,厺
拠,據
挙,擧
挙,舉
虚,虛
虚,虗
魚,鱼
京,亰
侠,俠
協,恊
協,旪
叫,呌
峡,峽
強,强
強,勥
強,犟
挟,挾
教,敎
橋,槗
橋,桥
況,况
狭,狹
胸,胷
郷,鄕
暁,曉
欣,惞
欣,俽
琴,琹
琴,珡
筋,觔
筋,竻
倶,俱
区,區
躯,軀
駆,驅
駆,駈
駆,敺
寓,庽
靴,鞾
窪,漥
桑,桒
桑,枽
鍬,鍫
勲,勳
勲,勛
薫,薰
群,羣
啓,諬
啓,啟
啓,唘
啓,啔
径,徑
径,逕
恵,惠
恵,憓
恵,僡
憩,憇
携,攜
携,擕
渓,溪
渓,谿
経,經
継,繼
繋,繫
茎,莖
荊,荆
蛍,螢
軽,輕
頚,頸
鶏,鷄
鶏,雞
芸,藝
芸,秇
欠,缺
欠,缼
決,决
倹,儉
剣,劍
剣,劔
剣,劒
剣,剱
剣,釼
剣,劎
圏,圈
検,檢
検,撿
権,權
献,獻
県,縣
賢,臤
険,險
顕,顯
験,驗
験,騐
鹸,鹼
鹸,碱
鹸,醎
鹸,鹹
原,厡
厳,嚴
減,减
袴,絝
股,脵
虎,乕
鼓,皷
鼓,鼔
呉,吴
呉,吳
娯,娛
悟,忢
侯,矦
光,灮
光,炗
効,效
巷,衖
広,廣
恒,恆
拘,抅
晃,晄
浩,澔
稿,稾
稿,藳
稿,稁
紘,綋
耕,畊
鉱,鑛
砿,礦
高,髙
劫,刧
劫,刦
劫,刼
号,號
轟,軣
国,國
国,圀
国,囶
国,囻
穀,糓
穀,榖
黒,黑
昏,昬
嵯,嵳
鎖,鏁
鎖,鎻
歳,歲
歳,嵗
済,濟
災,灾
災,烖
砕,碎
斎,齋
剤,劑
財,戝
冴,冱
冴,沍
崎,嵜
崎,﨑
埼,碕
柵,栅
策,敇
桜,櫻
冊,册
殺,煞
雑,雜
雑,襍
皐,皋
皐,臯
晒,曬
三,弎
傘,仐
傘,伞
参,參
参,叄
参,叅
惨,慘
桟,棧
蚕,蠶
讃,讚
賛,贊
餐,湌
残,殘
四,亖
姉,姊
糸,絲
紙,帋
視,眎
視,眂
視,眡
歯,齒
事,亊
事,叓
児,兒
時,时
時,峕
爾,尓
爾,尔
璽,壐
璽,玺
辞,辭
湿,濕
湿,溼
質,貭
実,實
篠,筱
蕊,蘂
蕊,蕋
蕊,蘃
舎,舍
写,冩
写,寫
煮,煑
蛇,虵
釈,釋
守,垨
呪,咒
寿,壽
収,收
秋,秌
秋,穐
秋,龝
繍,繡
臭,狊
衆,乑
衆,眾
讐,讎
蹴,蹵
酬,酧
従,從
渋,澁
渋,澀
獣,獸
縦,縱
粛,肅
淳,湻
準,凖
醇,醕
処,處
叙,敍
叙,敘
嘗,甞
奨,奬
奨,獎
将,將
廠,厰
昇,曻
松,枩
松,柗
松,梥
松,枀
渉,涉
焼,燒
照,瞾
称,稱
称,穪
蒋,蔣
証,證
醤,醬
上,丄
乗,乘
冗,宂
剰,剩
場,塲
壌,壤
嬢,孃
条,條
浄,淨
状,狀
畳,疊
畳,疉
