正字,異体字
い,ゐ
え,ゑ
か,が
か,カ
か,ケ
か,ヵ
か,ヶ
か,个
か,個
か,箇
か,が
が,カ
が,ケ
が,ヵ
が,ヶ
が,个
が,個
が,箇
つ,ッ
つ,ツ
の,ノ
の,乃
の,之
い,ゐ
え,ゑ
イ,ヰ
エ,ヱ
か,カ
が,カ
カ,ケ
カ,ヵ
カ,ヶ
カ,个
カ,個
カ,箇
か,ケ
が,ケ
カ,ケ
ケ,ヵ
ケ,ヶ
ケ,个
ケ,個
ケ,箇
つ,ッ
ッ,ツ
つ,ツ
ッ,ツ
の,ノ
ノ,乃
ノ,之
イ,ヰ
エ,ヱ
か,ヵ
が,ヵ
カ,ヵ
ケ,ヵ
ヵ,ヶ
ヵ,个
ヵ,個
ヵ,箇
か,ヶ
が,ヶ
カ,ヶ
ケ,ヶ
ヵ,ヶ
ヶ,个
ヶ,個
ヶ,箇
一,壱
一,壹
一,弌
万,萬
与,與
世,丗
世,丗
両,兩
両,輌
両,輛
並,竝
か,个
が,个
カ,个
ケ,个
ヵ,个
ヶ,个
个,個
个,箇
の,乃
ノ,乃
乃,之
の,之
ノ,之
乃,之
乕,虎
乗,乘
乗,乘
乱,亂
乱,濫
乱,燗
乱,爛
亀,龜
乱,亂
亂,濫
亂,燗
亂,爛
予,豫
争,爭
亊,事
亊,事
二,弍
二,弐
二,貮
二,貳
云,言
亘,亙
亘,亙
亜,亞
亜,亞
亜,亞
京,亰
京,亰
仂,働
从,從
从,従
仏,佛
付,附
仝,同
仞,仭
仞,仭
仮,假
会,會
伜,倅
伝,傳
佇,竚
体,躰
体,軆
体,體
余,餘
仏,佛
作,做
佞,侫
來,徠
來,来
価,價
佞,侫
侭,儘
俎,爼
伜,倅
か,個
が,個
カ,個
ケ,個
ヵ,個
ヶ,個
个,個
個,箇
倦,券
倦,劵
倹,儉
仮,假
偐,贋
作,做
偽,僞
傑,杰
伝,傳
仂,働
偽,僞
僣,僭
僣,僭
価,價
倹,儉
侭,儘
儼,嚴
儼,厳
克,剋
克,尅
兎,兔
兎,莵
兎,菟
児,兒
児,兒
兎,兔
兔,莵
兔,菟
党,黨
両,兩
兩,輌
兩,輛
円,圓
冊,册
冊,册
冐,冒
冐,冒
写,冩
写,寫
冤,寃
冦,寇
冨,富
写,冩
冩,寫
冪,羃
冫,冰
冫,氷
冫,冰
冰,氷
冱,冴
冱,沍
冲,沖
决,決
决,訣
决,蹶
冱,冴
冴,沍
况,況
冽,洌
凄,淒
凅,枯
凅,涸
凉,涼
凖,準
凛,凜
凛,凜
几,机
処,所
処,處
凭,憑
函,凾
函,関
函,關
函,凾
凾,関
凾,關
刀,釖
刃,刄
刃,刄
刈,苅
刊,刋
刊,刋
刧,劫
倦,券
券,劵
克,剋
剋,尅
剣,劍
剣,剱
剣,劒
剣,劔
剣,釼
剤,劑
剩,剰
剩,剰
剱,劍
剣,剱
剱,劒
剱,劔
剱,釼
剳,箚
劃,画
劃,畫
剣,劍
剱,劍
劍,劒
劍,劔
劍,釼
剤,劑
劍,劒
剣,劒
剱,劒
劒,劔
劒,釼
劍,劔
剣,劔
剱,劔
劒,劔
劔,釼
刧,劫
励,勵
労,勞
労,撈
倦,劵
券,劵
効,效
勅,敕
労,勞
勞,撈
勧,勸
勲,勳
勲,勳
励,勵
勧,勸
包,疱
包,皰
包,靤
匳,奩
区,區
医,醫
区,區
卆,卒
卆,卒
協,叶
協,恊
単,單
博,愽
卮,巵
卯,夘
却,卻
却,退
卷,巻
却,卻
卻,退
