正字,異体字
仝,同
い,ゐ
え,ゑ
か,が
か,カ
か,ケ
か,ヵ
か,ヶ
か,箇
か,個
か,个
が,カ
が,ケ
が,ヵ
が,ヶ
が,箇
が,個
が,个
が,か
つ,ッ
つ,ツ
の,ノ
の,乃
の,之
ゐ,い
ゑ,え
イ,ヰ
エ,ヱ
カ,が
カ,ケ
カ,ヵ
カ,ヶ
カ,箇
カ,個
カ,个
カ,か
ケ,が
ケ,カ
ケ,ヵ
ケ,ヶ
ケ,箇
ケ,個
ケ,个
ケ,か
ッ,ツ
ッ,つ
ツ,ッ
ツ,つ
ノ,乃
ノ,之
ノ,の
ヰ,イ
ヱ,エ
ヵ,が
ヵ,カ
ヵ,ケ
ヵ,ヶ
ヵ,箇
ヵ,個
ヵ,个
ヵ,か
ヶ,が
ヶ,カ
ヶ,ケ
ヶ,ヵ
ヶ,箇
ヶ,個
ヶ,个
ヶ,か
穐,秋
庵,广
囲,囗
一,壱
壱,一
蔭,陰
陰,蔭
云,言
叡,英
頴,穎
英,叡
薗,園
箇,が
箇,カ
箇,ケ
箇,ヵ
箇,ヶ
箇,個
箇,个
箇,か
画,劃
回,廻
回,蛔
回,恢
廻,恢
廻,蛔
廻,回
恢,廻
恢,蛔
恢,回
懐,潰
界,堺
害,碍
碍,害
劃,画
潟,瀉
活,闊
叶,協
栢,柏
刈,苅
苅,刈
歓,驩
潅,濯
関,函
舘,館
岩,嵒
贋,偐
奇,畸
奇,綺
机,几
棄,毀
気,气
砧,碪
却,退
協,叶
狂,呈
狂,抂
駈,駆
喰,食
喰,蝕
沓,踏
沓,蹈
薫,熏
圭,珪
珪,圭
恵,慧
慧,恵
欠,歇
決,訣
決,蹶
訣,蹶
訣,決
倦,券
倦,劵
券,劵
券,倦
厳,儼
言,云
個,が
個,カ
個,ケ
個,ヵ
個,ヶ
個,箇
個,个
個,か
枯,凅
宏,広
宏,弘
宏,曠
広,弘
広,曠
広,宏
弘,広
弘,曠
弘,宏
稿,藁
鉱,砿
砿,鉱
克,剋
坐,座
座,坐
砕,摧
罪,暃
財,賊
坂,阪
阪,坂
堺,界
崎,埼
埼,崎
碕,埼
碕,崎
作,做
讃,賛
賛,讃
私,厶
宍,肉
蛇,它
収,蒐
収,輯
収,集
収,聚
繍,綉
蒐,輯
蒐,集
蒐,聚
蒐,収
輯,蒐
輯,集
輯,聚
輯,収
集,蒐
集,輯
集,聚
集,収
従,从
処,所
所,処
薯,藷
藷,薯
叙,抒
粧,妝
裳,装
障,墻
浄,滌
食,蝕
食,喰
蝕,食
蝕,喰
甚,尽
尽,甚
粋,萃
椙,杉
棲,生
栖,生
栖,棲
生,棲
蹟,跡
専,擅
川,巛
泉,湶
薦,荐
曾,曽
疏,疎
疎,疏
遡,泝
惣,総
惣,綜
総,綜
総,惣
綜,総
綜,惣
装,裳
賊,財
村,邨
柁,舵
退,却
台,颱
瀧,滝
托,託
濯,潅
託,托
樽,墫
潰,懐
呈,抂
呈,狂
兎,菟
菟,兎
刀,釖
島,陦
嶋,陦
嶋,島
棟,楝
燈,灯
豆,荳
踏,蹈
踏,沓
闘,鬥
馴,駲
二,弐
弐,二
肉,宍
禰,祢
禰,袮
祢,袮
粘,黏
乃,ノ
乃,之
乃,の
之,ノ
之,乃
之,の
埜,野
盃,杯
楳,梅
博,愽
函,関
畑,畠
畠,畑
溌,発
溌,醗
発,醗
発,溌
醗,発
醗,溌
